ID;URL;NOME FILE;NOME ATTUALE;TESTO ALT;TESTO NEL TAG;FORMATO;STATUS
132;https://www.ansa.it/sito/notizie/sport/moto/moto.shtml;moto.shtml;;;Moto;;
133;https://www.ansa.it/webimages/img_395x275/2021/4/12/d2815efd278300f62c8ea6dce2c95625.jpg;d2815efd278300f62c8ea6dce2c95625.jpg;133.jpg;Prenota online la manutenzione Ford Value Service 4+;;.jpg;200
134;https://optimized-by.4wnetwork.com/exaudi.php;exaudi.php;134.jpg;;;.jpg;200
135;https://www.ansa.it/sito/notizie/tecnologia/hitech/hitech.shtml;hitech.shtml;;;Hi-Tech;;
136;https://www.ansa.it/webimages/img_115x80/2021/4/13/b75adb8e693307dfb863fb332280f739.jpg;b75adb8e693307dfb863fb332280f739.jpg;136.jpg;Doping, Procura: 'Insultò ispettore, 20 giorni di stop a Gasperini' (ANSA);;.jpg;200
137;https://www.ansa.it/sito/img/ico_mosaic.png;ico_mosaic.png;137.png;fromCss;;.png;200
138;https://www.ansa.it/sito/img/logo_ansa_32x32.png;logo_ansa_32x32.png;138.png;fromCss;;.png;200
139;https://www.ansa.it/sito/img/controls_gallery.png;controls_gallery.png;139.png;fromCss;;.png;200
140;https://www.ansa.it/webimages/img_210x145/2021/3/1/84398d3a1d0545318958859bbe6fdd83.jpg;84398d3a1d0545318958859bbe6fdd83.jpg;140.jpg; (ANSA);;.jpg;200
141;https://www.ansa.it/sito/img/sprite_mobile.png?20161108;sprite_mobile.png?20161108;141.png;fromCss;;.png;200
142;https://www.ansa.it/webimages/img_210x145/2021/4/12/f625049007cdcc7b87aefd5533280be8.jpg;f625049007cdcc7b87aefd5533280be8.jpg;142.jpg;Riaprono i pub a Londra (ANSA);;.jpg;200
143;https://www.ansa.it/sito/notizie/mondo/2021/04/13/fukushima-corea-sud-convoca-lambasciatore-giapponese_7c2bfd5a-e97c-41dd-91cd-0b56d3a852b9.html;fukushima-corea-sud-convoca-lambasciatore-giapponese_7c2bfd5a-e97c-41dd-91cd-0b56d3a852b9.html;;;Fukushima: Corea Sud convoca l'ambasciatore giapponese;;
144;https://widget.spreaker.com/player?episode_id=44315784&theme=dark&autoplay=false&playlist=false;player?episode_id=44315784&theme=dark&autoplay=false&playlist=false;144.jpg;;;.jpg;200
145;https://www.ansa.it/sito/img/circle_num_30x30.png;circle_num_30x30.png;145.png;fromCss;;.png;200
146;https://www.ansa.it/canale_lifestyle/notizie/pets/pets.shtml;pets.shtml;;;Pets;;
147;https://www.ansa.it/ansa2030/notizie/ansacom/2021/03/29/inclusione-al-centro-del-primo-piano-sostenibilita-amplifon_370d872a-ae6a-43c1-9e3d-d665fe6ce15f.html;inclusione-al-centro-del-primo-piano-sostenibilita-amplifon_370d872a-ae6a-43c1-9e3d-d665fe6ce15f.html;;;Inclusione al centro del primo Piano Sostenibilità Amplifon;;
148;https://www.ansa.it/sito/img/ico_cyano_video_32x32.png;ico_cyano_video_32x32.png;148.png;fromCss;;.png;200
149;https://www.ansa.it/sito/img/ico_green_video_32x32.png;ico_green_video_32x32.png;149.png;fromCss;;.png;200
150;https://www.ansa.it/sito/notizie/sport/calcio/campionato.html?C=58&T=0;campionato.html?C=58&T=0;150.jpg;;Champion League;.jpg;200
151;https://www.ansa.it/webimages/img_300x200/2021/4/13/417e33bebe195e6f52b5e33d2877703f.jpg;417e33bebe195e6f52b5e33d2877703f.jpg;151.jpg; (ANSA);;.jpg;200
152;https://www.ansa.it/canale_ambiente/notizie/rifiuti_e_riciclo/index.shtml;index.shtml;;;Rifiuti&Riciclo;;
153;https://www.ansa.it/sito/notizie/sport/calcio/campionato.html?C=135&T=0;campionato.html?C=135&T=0;153.jpg;;Europa League;.jpg;200
154;https://www.ansa.it/canale_ambiente/;;;;Ambiente & Energia;;
